"","Project_Name","Site_Year_Code","Habitat","General_Category","General_Category_lvl2","Family","Species","Reported_Pounds_Harvested","Estimated_Total_Pounds_Harvested","Mean_Pounds_Per_Household","Percapita_Pounds_Harvested","Number_Of_Resource_Harvested","Estimated_Amount_Harvested","Percent_Of_Total_Harvest","Conversion_Units_To_Pounds","Resource_Harvest_Units","Est_Comm_Population","Type","Site","Year","Genus"
"47","NPRB Yakutat Comprehensive","Yakutat_2015","Marine","Fish","Non-Salmon Fish","Gadidae","Pacific Tom Cod",0,0,0,0,0,0,0,"0.5","Ind.","591.7",NA,NA,NA,NA
"48","NPRB Yakutat Comprehensive","Yakutat_2015","Marine","Fish","Non-Salmon Fish","Flounder","Flounder",2,4.8,0,0.008032128,0.7,4.8,0,"3","lb.","591.7",NA,NA,NA,NA
"49","NPRB Yakutat Comprehensive","Yakutat_2015","Marine","Fish","Non-Salmon Fish","Flounder","Unknown Flounder",2,4.8,0,0.008032128,0.7,1.6,0,"3","Ind.","591.7",NA,NA,NA,NA
"50","NPRB Yakutat Comprehensive","Yakutat_2015","Marine","Fish","Non-Salmon Fish","Hexagrammidae","Lingcod",320,760.4,3.2,1.2851405,80,190.1,0.005,"4","Ind.","591.7",NA,NA,NA,NA
"51","NPRB Yakutat Comprehensive","Yakutat_2015","Marine","Fish","Non-Salmon Fish","Hexagrammidae","Rock Greenling",4,9.5,0,0.016064256,4,9.5,0,"1","Ind.","591.7",NA,NA,NA,NA
"52","NPRB Yakutat Comprehensive","Yakutat_2015","Marine","Fish","Non-Salmon Fish","Halibut","Halibut",6783.6,16214.6,67.6,27.404255,6783.6,16214.6,0.105,"1","lb.","591.7",NA,NA,NA,NA
"53","NPRB Yakutat Comprehensive","Yakutat_2015","Marine","Fish","Non-Salmon Fish","Rockfish","Black Rockfish",325.5,777,3.2,1.3132529,217,518,0.005,"1.5","Ind.","591.7",NA,NA,NA,NA
"54","NPRB Yakutat Comprehensive","Yakutat_2015","Marine","Fish","Non-Salmon Fish","Rockfish","Yellow Eye Rockfish",278,660.6,2.8,1.1164658,92.7,220.2,0.004,"3","Ind.","591.7",NA,NA,NA,NA
"55","NPRB Yakutat Comprehensive","Yakutat_2015","Marine","Fish","Non-Salmon Fish","Rockfish","Dusky Rockfish",6,14.3,0.1,0.024096385,6,14.3,0,"1","Ind.","591.7",NA,NA,NA,NA
"56","NPRB Yakutat Comprehensive","Yakutat_2015","Marine","Fish","Non-Salmon Fish","Rockfish","Copper Rockfish",16,38,0.2,0.064257026,4,9.5,0,"4","Ind.","591.7",NA,NA,NA,NA
"57","NPRB Yakutat Comprehensive","Yakutat_2015","Marine","Fish","Non-Salmon Fish","Rockfish","China Rockfish",0,0,0,0,0,0,0,"1","Ind.","591.7",NA,NA,NA,NA
"58","NPRB Yakutat Comprehensive","Yakutat_2015","Marine","Fish","Non-Salmon Fish","Rockfish","Unknown Rockfish",0,0,0,0,0,0,0,"1.8405088","Ind.","591.7",NA,NA,NA,NA
